feature_name,non_null_rows
auto_pricing_power_spread,108
baa10y_spread,316
book_value_per_share_growth_yoy,243
breakeven_inflation_10y,278
breakeven_momentum_3m,275
buyback_acceleration,240
buyback_yield,242
channel_mix_agency_pct,244
channel_mix_direct_pct_yoy,242
combined_ratio_ttm,253
commodity_equity_momentum,182
cr_acceleration,250
credit_spread_hy,316
credit_spread_ratio,316
direct_channel_pif_share_ttm,253
duration_rate_shock_3m,250
equity_risk_premium,219
excess_bond_premium_proxy,316
expense_ratio_ttm,28
gainshare_est,258
gasoline_retail_sales_delta,205
gold_vs_treasury_6m,223
high_52w,289
investment_book_yield,131
investment_income_growth_yoy,246
legal_services_ppi_relative,192
loss_ratio_ttm,28
medical_cpi_yoy,306
mom_12m,260
mom_3m,304
mom_6m,289
monthly_combined_ratio_delta,255
mortgage_spread_30y_10y,219
motor_vehicle_ins_cpi_yoy,108
nfci,316
npw_growth_yoy,238
npw_per_pif_yoy,242
npw_vs_npe_spread_pct,258
pb_ratio,256
pe_ratio,240
pgr_pe_vs_market_pe,211
pgr_premium_to_surplus,251
pgr_price_to_book_relative,71
pgr_vs_kie_6m,240
pgr_vs_peers_6m,311
pgr_vs_vfh_6m,261
pif_growth_acceleration,240
pif_growth_yoy,227
ppi_auto_ins_yoy,305
rate_adequacy_gap_yoy,305
real_rate_10y,278
real_yield_change_6m,272
realized_gain_to_net_income_ratio,28
reserve_to_npe_ratio,28
roe,219
roe_net_income_ttm,228
roe_trend,221
severity_index_yoy,306
target_6m_return,309
term_premium_10y,219
underwriting_income,256
underwriting_income_3m,255
underwriting_income_growth_yoy,242
underwriting_margin_ttm,253
unearned_premium_growth_yoy,234
unearned_premium_to_npw_ratio,256
unrealized_gain_pct_equity,256
usd_broad_return_3m,216
usd_momentum_6m,213
used_car_cpi_yoy,306
vix,316
vmt_yoy,306
vol_63d,311
vwo_vxus_spread_6m,177
wti_return_3m,216
yield_curvature,316
yield_slope,316
